DISTRICT,DATE,POLLULLANT,TYPE,URBAN_AREA,RATIO,ID,Status,MEAN
SARRIÀ - SANT GERVASI,2022-05-04,NO,background,suburban,GREEN_AREA_Q1,Low,Good,1.2916666666666667
LES CORTS,2022-05-04,O3,background,urban,GREEN_AREA_Q2,Low,Good,53.853369694871795
LES CORTS,2022-05-04,PM2.5,background,urban,GREEN_AREA_Q2,Low,Regular,11.625
SARRIÀ - SANT GERVASI,2022-05-04,PM10,background,suburban,GREEN_AREA_Q1,Low,Good,14.75
EIXAMPLE,2022-05-04,NOX,traffic,urban,GREEN_AREA_Q1,Moderate,Unfavorable,80.29166666666667
GRÀCIA,2022-05-04,NOX,traffic,urban,GREEN_AREA_Q4,Low,Unfavorable,57.054958972916666
NOU BARRIS - SANT ANDREU,2022-05-04,NO,background,urban,GREEN_AREA_Q3,Extremely High,Good,11.791666666666666
HORTA - GUINARDÓ,2022-05-04,PM10,background,urban,GREEN_AREA_Q1,Moderate,Good,13.958333333333334
LES CORTS,2022-05-04,PM10,background,urban,GREEN_AREA_Q2,Low,Good,15.833333333333334
HORTA - GUINARDÓ,2022-05-04,NO2,background,urban,GREEN_AREA_Q1,Moderate,Reasonably good,27.833333333333332
HORTA - GUINARDÓ,2022-05-04,O3,background,urban,GREEN_AREA_Q1,Moderate,Good,49.5
LES CORTS,2022-05-04,NO,background,urban,GREEN_AREA_Q2,Low,Good,2.3206716637681155
CIUTAT VELLA,2022-05-04,NO2,background,urban,GREEN_AREA_Q3,Low,Reasonably good,25.75
EIXAMPLE,2022-05-04,CO,traffic,urban,GREEN_AREA_Q1,Moderate,Good,320.8333333333333
HORTA - GUINARDÓ,2022-05-04,NO,background,urban,GREEN_AREA_Q1,Moderate,Good,4.708333333333333
EIXAMPLE,2022-05-04,SO2,traffic,urban,GREEN_AREA_Q1,Moderate,Good,1.3333333333333333
GRÀCIA,2022-05-04,CO,traffic,urban,GREEN_AREA_Q4,Low,Good,725.2714729166668
SARRIÀ - SANT GERVASI,2022-05-04,NO2,background,suburban,GREEN_AREA_Q1,Low,Good,7.291666666666667
LES CORTS,2022-05-04,NOX,background,urban,GREEN_AREA_Q2,Low,Good,19.29349775072464
GRÀCIA,2022-05-04,NO2,traffic,urban,GREEN_AREA_Q4,Low,Reasonably good,39.054958972916666
SARRIÀ - SANT GERVASI,2022-05-04,O3,background,suburban,GREEN_AREA_Q1,Low,Regular,71.08333333333333
LES CORTS,2022-05-04,NO2,background,urban,GREEN_AREA_Q2,Low,Good,17.82610644637681
EIXAMPLE,2022-05-04,NO2,traffic,urban,GREEN_AREA_Q1,Moderate,Regular,49.083333333333336
HORTA - GUINARDÓ,2022-05-04,SO2,background,urban,GREEN_AREA_Q1,Moderate,Good,1.0
EIXAMPLE,2022-05-04,NO,traffic,urban,GREEN_AREA_Q1,Moderate,Reasonably good,20.583333333333332
LES CORTS,2022-05-04,SO2,background,urban,GREEN_AREA_Q2,Low,Good,2.3050089653333337
GRÀCIA,2022-05-04,O3,traffic,urban,GREEN_AREA_Q4,Low,Good,41.0938335301282
SANT MARTÍ,2022-05-04,PM10,background,urban,GREEN_AREA_Q4,Extremely High,Reasonably good,21.980361270000003
SANT MARTÍ,2022-05-04,NOX,background,urban,GREEN_AREA_Q4,Extremely High,Regular,44.036231379807695
SANTS - MONTJUÏC,2022-05-04,NO2,background,urban,GREEN_AREA_Q2,High,Reasonably good,27.711706263333337
SANT MARTÍ,2022-05-04,NO,background,urban,GREEN_AREA_Q4,Extremely High,Good,9.464115995192307
HORTA - GUINARDÓ,2022-05-04,CO,background,urban,GREEN_AREA_Q1,Moderate,Good,237.5
CIUTAT VELLA,2022-05-04,NOX,background,urban,GREEN_AREA_Q3,Low,Reasonably good,32.0
CIUTAT VELLA,2022-05-04,O3,background,urban,GREEN_AREA_Q3,Low,Good,43.458333333333336
SANTS - MONTJUÏC,2022-05-04,NOX,background,urban,GREEN_AREA_Q2,High,Reasonably good,31.89670626333333
SARRIÀ - SANT GERVASI,2022-05-04,NOX,background,suburban,GREEN_AREA_Q1,Low,Good,8.625
EIXAMPLE,2022-05-04,PM10,traffic,urban,GREEN_AREA_Q1,Moderate,Reasonably good,32.416666666666664
SANTS - MONTJUÏC,2022-05-04,NO,background,urban,GREEN_AREA_Q2,High,Good,3.1867062633333334
SANT MARTÍ,2022-05-04,NO2,background,urban,GREEN_AREA_Q4,Extremely High,Reasonably good,30.017000610576925
GRÀCIA,2022-05-04,NO,traffic,urban,GREEN_AREA_Q4,Low,Good,12.336208972916666
GRÀCIA,2022-05-04,SO2,traffic,urban,GREEN_AREA_Q4,Low,Good,4.039333972916667
HORTA - GUINARDÓ,2022-05-04,NOX,background,urban,GREEN_AREA_Q1,Moderate,Reasonably good,34.708333333333336
GRÀCIA,2022-05-04,PM10,traffic,urban,GREEN_AREA_Q4,Low,Reasonably good,21.611289041666662
NOU BARRIS - SANT ANDREU,2022-05-04,NO2,background,urban,GREEN_AREA_Q3,Extremely High,Reasonably good,27.333333333333332
NOU BARRIS - SANT ANDREU,2022-05-04,NOX,background,urban,GREEN_AREA_Q3,Extremely High,Regular,44.916666666666664
LES CORTS,2022-05-03,PM10,background,urban,GREEN_AREA_Q2,Low,Good,17.728280359420292
HORTA - GUINARDÓ,2022-05-03,PM10,background,urban,GREEN_AREA_Q1,Moderate,Good,19.342557875946973
HORTA - GUINARDÓ,2022-05-03,SO2,background,urban,GREEN_AREA_Q1,Moderate,Good,1.9196568317708333
CIUTAT VELLA,2022-05-03,NOX,background,urban,GREEN_AREA_Q3,Low,Good,19.666666666666668
SARRIÀ - SANT GERVASI,2022-05-03,NO,background,suburban,GREEN_AREA_Q1,Low,Good,1.0833333333333333
SANT MARTÍ,2022-05-03,PM10,background,urban,GREEN_AREA_Q4,Extremely High,Reasonably good,20.895912698863636
NOU BARRIS - SANT ANDREU,2022-05-03,NOX,background,urban,GREEN_AREA_Q3,Extremely High,Reasonably good,31.0
GRÀCIA,2022-05-03,PM10,traffic,urban,GREEN_AREA_Q4,Low,Reasonably good,23.0
GRÀCIA,2022-05-03,NOX,traffic,urban,GREEN_AREA_Q4,Low,Regular,42.125
GRÀCIA,2022-05-03,CO,traffic,urban,GREEN_AREA_Q4,Low,Good,216.66666666666666
HORTA - GUINARDÓ,2022-05-03,NO2,background,urban,GREEN_AREA_Q1,Moderate,Reasonably good,26.154031831770833
HORTA - GUINARDÓ,2022-05-03,NO,background,urban,GREEN_AREA_Q1,Moderate,Good,3.7009068317708333
HORTA - GUINARDÓ,2022-05-03,O3,background,urban,GREEN_AREA_Q1,Moderate,Reasonably good,61.21085594823719
SANTS - MONTJUÏC,2022-05-03,NO,background,urban,GREEN_AREA_Q2,High,Good,2.0416666666666665
EIXAMPLE,2022-05-03,SO2,traffic,urban,GREEN_AREA_Q1,Moderate,Good,1.1666666666666667
SARRIÀ - SANT GERVASI,2022-05-03,NOX,background,suburban,GREEN_AREA_Q1,Low,Good,9.375
GRÀCIA,2022-05-03,SO2,traffic,urban,GREEN_AREA_Q4,Low,Good,5.041666666666667
LES CORTS,2022-05-03,O3,background,urban,GREEN_AREA_Q2,Low,Reasonably good,63.23500896533333
LES CORTS,2022-05-03,SO2,background,urban,GREEN_AREA_Q2,Low,Good,2.3500089653333336
SARRIÀ - SANT GERVASI,2022-05-03,PM10,background,suburban,GREEN_AREA_Q1,Low,Good,14.541666666666666
SANT MARTÍ,2022-05-03,NO,background,urban,GREEN_AREA_Q4,Extremely High,Good,4.7427519843749995
CIUTAT VELLA,2022-05-03,NO,background,urban,GREEN_AREA_Q3,Low,Good,1.9166666666666667
EIXAMPLE,2022-05-03,O3,traffic,urban,GREEN_AREA_Q1,Moderate,Good,54.541666666666664
LES CORTS,2022-05-03,NO2,background,urban,GREEN_AREA_Q2,Low,Reasonably good,20.82146059047619
SARRIÀ - SANT GERVASI,2022-05-03,O3,background,suburban,GREEN_AREA_Q1,Low,Regular,76.25
HORTA - GUINARDÓ,2022-05-03,NOX,background,urban,GREEN_AREA_Q1,Moderate,Reasonably good,30.185281831770837
LES CORTS,2022-05-03,NO,background,urban,GREEN_AREA_Q2,Low,Good,2.6607463047619047
LES CORTS,2022-05-03,PM2.5,background,urban,GREEN_AREA_Q2,Low,Unfavorable,14.695671663768115
HORTA - GUINARDÓ,2022-05-03,CO,background,urban,GREEN_AREA_Q1,Moderate,Good,1179.0318317708336
LES CORTS,2022-05-03,NOX,background,urban,GREEN_AREA_Q2,Low,Reasonably good,21.892889161904762
SANT MARTÍ,2022-05-03,NOX,background,urban,GREEN_AREA_Q4,Extremely High,Reasonably good,30.758376984375005
CIUTAT VELLA,2022-05-03,NO2,background,urban,GREEN_AREA_Q3,Low,Good,17.25
EIXAMPLE,2022-05-03,CO,traffic,urban,GREEN_AREA_Q1,Moderate,Good,354.1666666666667
EIXAMPLE,2022-05-03,NOX,traffic,urban,GREEN_AREA_Q1,Moderate,Unfavorable,67.375
CIUTAT VELLA,2022-05-03,O3,background,urban,GREEN_AREA_Q3,Low,Reasonably good,62.208333333333336
GRÀCIA,2022-05-03,NO,traffic,urban,GREEN_AREA_Q4,Low,Good,8.375
SANTS - MONTJUÏC,2022-05-03,NOX,background,urban,GREEN_AREA_Q2,High,Reasonably good,24.041666666666668
SANT MARTÍ,2022-05-03,NO2,background,urban,GREEN_AREA_Q4,Extremely High,Reasonably good,24.570876984375
EIXAMPLE,2022-05-03,PM10,traffic,urban,GREEN_AREA_Q1,Moderate,Reasonably good,27.75
EIXAMPLE,2022-05-03,NO,traffic,urban,GREEN_AREA_Q1,Moderate,Good,17.666666666666668
SARRIÀ - SANT GERVASI,2022-05-03,NO2,background,suburban,GREEN_AREA_Q1,Low,Good,8.375
GRÀCIA,2022-05-03,O3,traffic,urban,GREEN_AREA_Q4,Low,Reasonably good,61.083333333333336
EIXAMPLE,2022-05-03,NO2,traffic,urban,GREEN_AREA_Q1,Moderate,Regular,40.583333333333336
NOU BARRIS - SANT ANDREU,2022-05-03,NO2,background,urban,GREEN_AREA_Q3,Extremely High,Reasonably good,24.041666666666668
GRÀCIA,2022-05-03,NO2,traffic,urban,GREEN_AREA_Q4,Low,Reasonably good,29.541666666666668
SANTS - MONTJUÏC,2022-05-03,NO2,background,urban,GREEN_AREA_Q2,High,Reasonably good,21.083333333333332
NOU BARRIS - SANT ANDREU,2022-05-03,NO,background,urban,GREEN_AREA_Q3,Extremely High,Good,4.166666666666667
LES CORTS,2022-05-02,SO2,background,urban,GREEN_AREA_Q2,Low,Good,2.4297015083333338
LES CORTS,2022-05-02,PM2.5,background,urban,GREEN_AREA_Q2,Low,Unfavorable,12.0
EIXAMPLE,2022-05-02,CO,traffic,urban,GREEN_AREA_Q1,Moderate,Good,605.2970493333333
LES CORTS,2022-05-02,CO,background,urban,GREEN_AREA_Q2,Low,Good,1122.3020985507248
SARRIÀ - SANT GERVASI,2022-05-02,NOX,background,suburban,GREEN_AREA_Q1,Low,Good,12.114984160037878
SANTS - MONTJUÏC,2022-05-02,NO2,background,urban,GREEN_AREA_Q2,High,Reasonably good,27.416666666666668
SANTS - MONTJUÏC,2022-05-02,NOX,background,urban,GREEN_AREA_Q2,High,Reasonably good,30.083333333333332
CIUTAT VELLA,2022-05-02,NOX,background,urban,GREEN_AREA_Q3,Low,Good,18.75
LES CORTS,2022-05-02,PM10,background,urban,GREEN_AREA_Q2,Low,Good,16.375
NOU BARRIS - SANT ANDREU,2022-05-02,NO,background,urban,GREEN_AREA_Q3,Extremely High,Good,1.75
SARRIÀ - SANT GERVASI,2022-05-02,NO2,background,suburban,GREEN_AREA_Q1,Low,Good,10.989984160037878
CIUTAT VELLA,2022-05-02,NO,background,urban,GREEN_AREA_Q3,Low,Good,1.7083333333333333
NOU BARRIS - SANT ANDREU,2022-05-02,NOX,background,urban,GREEN_AREA_Q3,Extremely High,Reasonably good,20.0
SANT MARTÍ,2022-05-02,NOX,background,urban,GREEN_AREA_Q4,Extremely High,Reasonably good,25.666666666666668
HORTA - GUINARDÓ,2022-05-02,NO,background,urban,GREEN_AREA_Q1,Moderate,Good,1.7916666666666667
GRÀCIA,2022-05-02,O3,traffic,urban,GREEN_AREA_Q4,Low,Reasonably good,68.29166666666667
EIXAMPLE,2022-05-02,SO2,traffic,urban,GREEN_AREA_Q1,Moderate,Good,1.4403078895833332
SARRIÀ - SANT GERVASI,2022-05-02,NO,background,suburban,GREEN_AREA_Q1,Low,Good,5.416120523674242
SANT MARTÍ,2022-05-02,PM10,background,urban,GREEN_AREA_Q4,Extremely High,Good,19.333333333333332
CIUTAT VELLA,2022-05-02,NO2,background,urban,GREEN_AREA_Q3,Low,Good,17.25
SANT MARTÍ,2022-05-02,NO,background,urban,GREEN_AREA_Q4,Extremely High,Good,2.4166666666666665
GRÀCIA,2022-05-02,NO,traffic,urban,GREEN_AREA_Q4,Low,Good,7.083333333333333
HORTA - GUINARDÓ,2022-05-02,NOX,background,urban,GREEN_AREA_Q1,Moderate,Good,18.541666666666668
GRÀCIA,2022-05-02,CO,traffic,urban,GREEN_AREA_Q4,Low,Good,204.16666666666666
GRÀCIA,2022-05-02,PM10,traffic,urban,GREEN_AREA_Q4,Low,Reasonably good,20.458333333333332
CIUTAT VELLA,2022-05-02,O3,background,urban,GREEN_AREA_Q3,Low,Regular,76.16666666666667
HORTA - GUINARDÓ,2022-05-02,O3,background,urban,GREEN_AREA_Q1,Moderate,Regular,79.45833333333333
LES CORTS,2022-05-02,O3,background,urban,GREEN_AREA_Q2,Low,Regular,72.13282650833334
GRÀCIA,2022-05-02,NO2,traffic,urban,GREEN_AREA_Q4,Low,Reasonably good,30.25
LES CORTS,2022-05-02,NO,background,urban,GREEN_AREA_Q2,Low,Good,2.0761064463768117
NOU BARRIS - SANT ANDREU,2022-05-02,NO2,background,urban,GREEN_AREA_Q3,Extremely High,Good,18.041666666666668
EIXAMPLE,2022-05-02,NO2,traffic,urban,GREEN_AREA_Q1,Moderate,Regular,44.15179704933333
SARRIÀ - SANT GERVASI,2022-05-02,PM10,background,suburban,GREEN_AREA_Q1,Low,Good,19.494551515476186
HORTA - GUINARDÓ,2022-05-02,SO2,background,urban,GREEN_AREA_Q1,Moderate,Good,1.0
HORTA - GUINARDÓ,2022-05-02,PM10,background,urban,GREEN_AREA_Q1,Moderate,Good,14.125
HORTA - GUINARDÓ,2022-05-02,NO2,background,urban,GREEN_AREA_Q1,Moderate,Good,16.541666666666668
EIXAMPLE,2022-05-02,NO,traffic,urban,GREEN_AREA_Q1,Moderate,Good,15.081797049333334
GRÀCIA,2022-05-02,NOX,traffic,urban,GREEN_AREA_Q4,Low,Regular,40.958333333333336
LES CORTS,2022-05-02,NO2,background,urban,GREEN_AREA_Q2,Low,Good,19.53806296811594
SANTS - MONTJUÏC,2022-05-02,NO,background,urban,GREEN_AREA_Q2,High,Good,1.9166666666666667
EIXAMPLE,2022-05-02,PM10,traffic,urban,GREEN_AREA_Q1,Moderate,Reasonably good,26.380105253787885
GRÀCIA,2022-05-02,SO2,traffic,urban,GREEN_AREA_Q4,Low,Good,4.916666666666667
HORTA - GUINARDÓ,2022-05-02,CO,background,urban,GREEN_AREA_Q1,Moderate,Good,212.5
LES CORTS,2022-05-02,NOX,background,urban,GREEN_AREA_Q2,Low,Reasonably good,20.51632383768116
EIXAMPLE,2022-05-02,NOX,traffic,urban,GREEN_AREA_Q1,Moderate,Unfavorable,66.83179704933333
SANT MARTÍ,2022-05-02,NO2,background,urban,GREEN_AREA_Q4,Extremely High,Reasonably good,22.291666666666668
SARRIÀ - SANT GERVASI,2022-05-02,O3,background,suburban,GREEN_AREA_Q1,Low,Very unfavorable,92.54016179202897
LES CORTS,2022-05-01,NO,background,urban,GREEN_AREA_Q2,Low,Good,1.2916666666666667
HORTA - GUINARDÓ,2022-05-01,NO,background,urban,GREEN_AREA_Q1,Moderate,Good,1.375
HORTA - GUINARDÓ,2022-05-01,SO2,background,urban,GREEN_AREA_Q1,Moderate,Good,1.0
LES CORTS,2022-05-01,PM10,background,urban,GREEN_AREA_Q2,Low,Good,15.416666666666666
SANT MARTÍ,2022-05-01,NO,background,urban,GREEN_AREA_Q4,Extremely High,Good,1.375
SARRIÀ - SANT GERVASI,2022-05-01,NO2,background,suburban,GREEN_AREA_Q1,Low,Good,6.833333333333333
SANT MARTÍ,2022-05-01,PM10,background,urban,GREEN_AREA_Q4,Extremely High,Reasonably good,20.625
CIUTAT VELLA,2022-05-01,NO2,background,urban,GREEN_AREA_Q3,Low,Good,16.375
GRÀCIA,2022-05-01,CO,traffic,urban,GREEN_AREA_Q4,Low,Good,208.33333333333334
GRÀCIA,2022-05-01,O3,traffic,urban,GREEN_AREA_Q4,Low,Regular,77.25
HORTA - GUINARDÓ,2022-05-01,O3,background,urban,GREEN_AREA_Q1,Moderate,Unfavorable,82.75
EIXAMPLE,2022-05-01,NOX,traffic,urban,GREEN_AREA_Q1,Moderate,Regular,44.25
GRÀCIA,2022-05-01,NO,traffic,urban,GREEN_AREA_Q4,Low,Good,3.1666666666666665
LES CORTS,2022-05-01,NO2,background,urban,GREEN_AREA_Q2,Low,Good,12.0
GRÀCIA,2022-05-01,NO2,traffic,urban,GREEN_AREA_Q4,Low,Reasonably good,21.916666666666668
CIUTAT VELLA,2022-05-01,O3,background,urban,GREEN_AREA_Q3,Low,Regular,74.95833333333333
NOU BARRIS - SANT ANDREU,2022-05-01,NO2,background,urban,GREEN_AREA_Q3,Extremely High,Good,18.791666666666668
SARRIÀ - SANT GERVASI,2022-05-01,PM10,background,suburban,GREEN_AREA_Q1,Low,Good,18.166666666666668
EIXAMPLE,2022-05-01,PM10,traffic,urban,GREEN_AREA_Q1,Moderate,Reasonably good,25.166666666666668
HORTA - GUINARDÓ,2022-05-01,NO2,background,urban,GREEN_AREA_Q1,Moderate,Good,16.625
SARRIÀ - SANT GERVASI,2022-05-01,O3,background,suburban,GREEN_AREA_Q1,Low,Very unfavorable,94.58333333333333
SARRIÀ - SANT GERVASI,2022-05-01,NO,background,suburban,GREEN_AREA_Q1,Low,Good,1.2916666666666667
LES CORTS,2022-05-01,CO,background,urban,GREEN_AREA_Q2,Low,Good,200.0
EIXAMPLE,2022-05-01,NO2,traffic,urban,GREEN_AREA_Q1,Moderate,Reasonably good,31.125
LES CORTS,2022-05-01,O3,background,urban,GREEN_AREA_Q2,Low,Unfavorable,83.20833333333333
GRÀCIA,2022-05-01,PM10,traffic,urban,GREEN_AREA_Q4,Low,Reasonably good,20.0
EIXAMPLE,2022-05-01,CO,traffic,urban,GREEN_AREA_Q1,Moderate,Good,279.1666666666667
LES CORTS,2022-05-01,NOX,background,urban,GREEN_AREA_Q2,Low,Good,13.041666666666666
HORTA - GUINARDÓ,2022-05-01,CO,background,urban,GREEN_AREA_Q1,Moderate,Good,204.16666666666666
SANTS - MONTJUÏC,2022-05-01,NOX,background,urban,GREEN_AREA_Q2,High,Good,16.083333333333332
CIUTAT VELLA,2022-05-01,NO,background,urban,GREEN_AREA_Q3,Low,Good,1.375
LES CORTS,2022-05-01,PM2.5,background,urban,GREEN_AREA_Q2,Low,Regular,11.791666666666666
GRÀCIA,2022-05-01,SO2,traffic,urban,GREEN_AREA_Q4,Low,Good,4.958333333333333
SANT MARTÍ,2022-05-01,NO2,background,urban,GREEN_AREA_Q4,Extremely High,Good,14.875
GRÀCIA,2022-05-01,NOX,traffic,urban,GREEN_AREA_Q4,Low,Reasonably good,26.75
EIXAMPLE,2022-05-01,SO2,traffic,urban,GREEN_AREA_Q1,Moderate,Good,1.4166666666666667
LES CORTS,2022-05-01,SO2,background,urban,GREEN_AREA_Q2,Low,Good,1.9583333333333333
SANTS - MONTJUÏC,2022-05-01,NO2,background,urban,GREEN_AREA_Q2,High,Good,14.083333333333334
NOU BARRIS - SANT ANDREU,2022-05-01,NOX,background,urban,GREEN_AREA_Q3,Extremely High,Reasonably good,21.541666666666668
HORTA - GUINARDÓ,2022-05-01,PM10,background,urban,GREEN_AREA_Q1,Moderate,Good,15.375
SARRIÀ - SANT GERVASI,2022-05-01,NOX,background,suburban,GREEN_AREA_Q1,Low,Good,8.083333333333334
EIXAMPLE,2022-05-01,NO,traffic,urban,GREEN_AREA_Q1,Moderate,Good,8.708333333333334
SANTS - MONTJUÏC,2022-05-01,NO,background,urban,GREEN_AREA_Q2,High,Good,1.5
HORTA - GUINARDÓ,2022-05-01,NOX,background,urban,GREEN_AREA_Q1,Moderate,Good,18.083333333333332
SANT MARTÍ,2022-05-01,NOX,background,urban,GREEN_AREA_Q4,Extremely High,Good,16.75
NOU BARRIS - SANT ANDREU,2022-05-01,NO,background,urban,GREEN_AREA_Q3,Extremely High,Good,1.7916666666666667
CIUTAT VELLA,2022-05-01,NOX,background,urban,GREEN_AREA_Q3,Low,Good,17.833333333333332
HORTA - GUINARDÓ,2022-04-30,SO2,background,urban,GREEN_AREA_Q1,Moderate,Good,1.4583333333333333
CIUTAT VELLA,2022-04-30,NOX,background,urban,GREEN_AREA_Q3,Low,Unfavorable,61.5
CIUTAT VELLA,2022-04-30,NO2,background,urban,GREEN_AREA_Q3,Low,Unfavorable,54.083333333333336
HORTA - GUINARDÓ,2022-04-30,PM10,background,urban,GREEN_AREA_Q1,Moderate,Good,19.375
SARRIÀ - SANT GERVASI,2022-04-30,NO2,background,suburban,GREEN_AREA_Q1,Low,Good,7.708333333333333
SARRIÀ - SANT GERVASI,2022-04-30,NOX,background,suburban,GREEN_AREA_Q1,Low,Good,9.041666666666666
LES CORTS,2022-04-30,NO,background,urban,GREEN_AREA_Q2,Low,Good,3.5833333333333335
LES CORTS,2022-04-30,CO,background,urban,GREEN_AREA_Q2,Low,Good,200.0
NOU BARRIS - SANT ANDREU,2022-04-30,NO,background,urban,GREEN_AREA_Q3,Extremely High,Good,3.0833333333333335
CIUTAT VELLA,2022-04-30,O3,background,urban,GREEN_AREA_Q3,Low,Good,42.833333333333336
EIXAMPLE,2022-04-30,NO,traffic,urban,GREEN_AREA_Q1,Moderate,Good,19.416666666666668
SANT MARTÍ,2022-04-30,NO,background,urban,GREEN_AREA_Q4,Extremely High,Good,2.75
LES CORTS,2022-04-30,PM10,background,urban,GREEN_AREA_Q2,Low,Good,18.875
EIXAMPLE,2022-04-30,PM10,traffic,urban,GREEN_AREA_Q1,Moderate,Reasonably good,36.166666666666664
HORTA - GUINARDÓ,2022-04-30,O3,background,urban,GREEN_AREA_Q1,Moderate,Unfavorable,81.95833333333333
CIUTAT VELLA,2022-04-30,NO,background,urban,GREEN_AREA_Q3,Low,Good,5.041666666666667
LES CORTS,2022-04-30,PM2.5,background,urban,GREEN_AREA_Q2,Low,Unfavorable,12.541666666666666
GRÀCIA,2022-04-30,NO,traffic,urban,GREEN_AREA_Q4,Low,Good,8.291666666666666
GRÀCIA,2022-04-30,NO2,traffic,urban,GREEN_AREA_Q4,Low,Regular,47.166666666666664
LES CORTS,2022-04-30,SO2,background,urban,GREEN_AREA_Q2,Low,Good,2.7083333333333335
EIXAMPLE,2022-04-30,SO2,traffic,urban,GREEN_AREA_Q1,Moderate,Good,2.25
EIXAMPLE,2022-04-30,NOX,traffic,urban,GREEN_AREA_Q1,Moderate,Unfavorable,85.29166666666667
GRÀCIA,2022-04-30,SO2,traffic,urban,GREEN_AREA_Q4,Low,Good,5.583333333333333
GRÀCIA,2022-04-30,PM10,traffic,urban,GREEN_AREA_Q4,Low,Reasonably good,26.666666666666668
GRÀCIA,2022-04-30,NOX,traffic,urban,GREEN_AREA_Q4,Low,Unfavorable,59.583333333333336
SANTS - MONTJUÏC,2022-04-30,NOX,background,urban,GREEN_AREA_Q2,High,Unfavorable,52.375
HORTA - GUINARDÓ,2022-04-30,CO,background,urban,GREEN_AREA_Q1,Moderate,Good,216.66666666666666
SANT MARTÍ,2022-04-30,NO2,background,urban,GREEN_AREA_Q4,Extremely High,Reasonably good,31.666666666666668
EIXAMPLE,2022-04-30,NO2,traffic,urban,GREEN_AREA_Q1,Moderate,Unfavorable,55.666666666666664
LES CORTS,2022-04-30,NO2,background,urban,GREEN_AREA_Q2,Low,Reasonably good,28.416666666666668
NOU BARRIS - SANT ANDREU,2022-04-30,NOX,background,urban,GREEN_AREA_Q3,Extremely High,Reasonably good,34.958333333333336
HORTA - GUINARDÓ,2022-04-30,NO,background,urban,GREEN_AREA_Q1,Moderate,Good,1.75
GRÀCIA,2022-04-30,CO,traffic,urban,GREEN_AREA_Q4,Low,Good,208.33333333333334
EIXAMPLE,2022-04-30,CO,traffic,urban,GREEN_AREA_Q1,Moderate,Good,220.83333333333334
SANTS - MONTJUÏC,2022-04-30,NO2,background,urban,GREEN_AREA_Q2,High,Regular,41.291666666666664
LES CORTS,2022-04-30,O3,background,urban,GREEN_AREA_Q2,Low,Regular,70.41666666666667
SANT MARTÍ,2022-04-30,NOX,background,urban,GREEN_AREA_Q4,Extremely High,Reasonably good,35.583333333333336
GRÀCIA,2022-04-30,O3,traffic,urban,GREEN_AREA_Q4,Low,Good,54.1611412224359
SARRIÀ - SANT GERVASI,2022-04-30,NO,background,suburban,GREEN_AREA_Q1,Low,Good,1.375
HORTA - GUINARDÓ,2022-04-30,NOX,background,urban,GREEN_AREA_Q1,Moderate,Reasonably good,21.541666666666668
SANTS - MONTJUÏC,2022-04-30,NO,background,urban,GREEN_AREA_Q2,High,Good,7.416666666666667
SARRIÀ - SANT GERVASI,2022-04-30,PM10,background,suburban,GREEN_AREA_Q1,Low,Good,19.375
HORTA - GUINARDÓ,2022-04-30,NO2,background,urban,GREEN_AREA_Q1,Moderate,Good,19.625
SANT MARTÍ,2022-04-30,PM10,background,urban,GREEN_AREA_Q4,Extremely High,Reasonably good,25.708333333333332
LES CORTS,2022-04-30,NOX,background,urban,GREEN_AREA_Q2,Low,Reasonably good,33.125
SARRIÀ - SANT GERVASI,2022-04-30,O3,background,suburban,GREEN_AREA_Q1,Low,Very unfavorable,96.375
NOU BARRIS - SANT ANDREU,2022-04-30,NO2,background,urban,GREEN_AREA_Q3,Extremely High,Reasonably good,30.541666666666668
SARRIÀ - SANT GERVASI,2022-04-29,NO2,background,suburban,GREEN_AREA_Q1,Low,Good,12.625
SANT MARTÍ,2022-04-29,NO2,background,urban,GREEN_AREA_Q4,Extremely High,Regular,46.166666666666664
EIXAMPLE,2022-04-29,SO2,traffic,urban,GREEN_AREA_Q1,Moderate,Good,3.75
CIUTAT VELLA,2022-04-29,NOX,background,urban,GREEN_AREA_Q3,Low,Unfavorable,82.92357934733333
HORTA - GUINARDÓ,2022-04-29,NO2,background,urban,GREEN_AREA_Q1,Moderate,Reasonably good,26.625
SARRIÀ - SANT GERVASI,2022-04-29,O3,background,suburban,GREEN_AREA_Q1,Low,Unfavorable,86.66666666666667
SARRIÀ - SANT GERVASI,2022-04-29,NO,background,suburban,GREEN_AREA_Q1,Low,Good,3.0416666666666665
CIUTAT VELLA,2022-04-29,O3,background,urban,GREEN_AREA_Q3,Low,Good,39.67239391698718
LES CORTS,2022-04-29,O3,background,urban,GREEN_AREA_Q2,Low,Reasonably good,62.291666666666664
NOU BARRIS - SANT ANDREU,2022-04-29,NOX,background,urban,GREEN_AREA_Q3,Extremely High,Regular,43.61279645312501
GRÀCIA,2022-04-29,PM10,traffic,urban,GREEN_AREA_Q4,Low,Reasonably good,32.625
GRÀCIA,2022-04-29,SO2,traffic,urban,GREEN_AREA_Q4,Low,Good,5.833333333333333
EIXAMPLE,2022-04-29,NO,traffic,urban,GREEN_AREA_Q1,Moderate,Unfavorable,79.08333333333333
EIXAMPLE,2022-04-29,PM10,traffic,urban,GREEN_AREA_Q1,Moderate,Unfavorable,54.958333333333336
SANTS - MONTJUÏC,2022-04-29,NO,background,urban,GREEN_AREA_Q2,High,Good,17.333333333333332
